Container_ID,Destination,Goods,Container_Length,Actual_Weight,Shipping_Company,Weight_Difference,Weight_Factor,Destination_Factor,Goods_Factor,Company_Factor,Risk_Score,Decision
C000230,Hong Kong,Electronics,40,26725,North Korea Shipping Corporation,55,0.07,0.03,0.28,0.085,0.091,Store to ship
C000231,Germany,Corn,40,26586,Baltic Shipping Company,194,0.4,0.022,0.16,0.041,0.208,Store to ship
C000232,Denmark,Dairy Products,48,32716,APL,66,0.07,0.02,0.2,0.031,0.07,Store to ship
C000233,United Kingdom,Paint,20,21363,Bahri,364,0.8,0.025,0.41,0.037,0.42,Proceed to further inspection
C000234,United States,Natural Gas Equipment,48,32971,Maersk,321,0.8,0.028,0.52,0.025,0.437,Proceed to further inspection
C000235,Mexico,Dairy Products,40,26530,Grimaldi Lines,250,0.6,0.036,0.2,0.033,0.305,Proceed to further inspection
C000236,Colombia,Electrical Cables,45,28760,Evergreen Marine,290,0.6,0.043,0.27,0.029,0.317,Proceed to further inspection
C000237,Saudi Arabia,Machinery,40,27070,Ocean Network Express (ONE),290,0.6,0.05,0.34,0.027,0.33,Proceed to further inspection
C000238,Sri Lanka,Machinery,40,27178,Crowley Maritime,398,0.8,0.075,0.34,0.033,0.425,Proceed to further inspection
C000239,New Zealand,Solar Panels,53,33856,Grimaldi Lines,144,0.4,0.021,0.24,0.033,0.22,Store to ship
C000240,Argentina,Granite,45,29115,Iran Shipping Lines,65,0.07,0.05,0.29,0.07,0.098,Store to ship
C000241,Russia,Pharmaceuticals,45,29363,COSCO Shipping,313,0.8,0.058,0.2,0.032,0.398,Proceed to further inspection
C000242,United Kingdom,Paint,20,21461,Baltic Shipping Company,266,0.6,0.025,0.41,0.041,0.334,Proceed to further inspection
C000243,Japan,Petroleum Products,20,21902,Nippon Yusen Kaisha (NYK),175,0.4,0.025,0.84,0.029,0.313,Proceed to further inspection
C000244,Greece,Iron Ore,40,26764,Hyundai Merchant Marine (HMM),16,0.01,0.024,0.64,0.03,0.113,Store to ship
C000245,Denmark,Cement,40,26873,Maersk,93,0.07,0.02,0.3,0.025,0.085,Store to ship
C000246,United Arab Emirates,Leather Goods,53,34256,Bahri,256,0.6,0.045,0.22,0.037,0.311,Proceed to further inspection
C000247,Peru,Glass,53,34364,Star Container Services,364,0.8,0.041,0.24,0.065,0.402,Proceed to further inspection
C000248,Japan,Wind Turbine Parts,53,33878,Black Sea Shipping,122,0.4,0.025,0.31,0.055,0.234,Store to ship
C000249,Australia,Vehicles,45,29185,Star Container Services,135,0.4,0.023,0.36,0.065,0.242,Store to ship
C000250,Turkey,Furniture,20,21477,ZIM Integrated Shipping Services,250,0.6,0.055,0.21,0.035,0.313,Proceed to further inspection
C000251,France,Iron Ore,45,29249,Global Ocean Logistics,199,0.4,0.024,0.64,0.04,0.283,Store to ship
C000252,Denmark,Paper,20,21907,Res Trans-Logis,180,0.4,0.02,0.21,0.042,0.216,Store to ship
C000253,Egypt,Electrical Cables,45,28962,Syrian Shipping Lines,88,0.07,0.044,0.27,0.075,0.093,Store to ship
C000254,Denmark,Corn,40,26767,Yang Ming Marine,13,0.01,0.02,0.16,0.031,0.038,Store to ship
C000255,Germany,Frozen Meat,45,28784,Bahri,266,0.6,0.022,0.24,0.037,0.307,Proceed to further inspection
C000256,Indonesia,Leather Goods,53,34025,K Line,25,0.01,0.047,0.22,0.029,0.056,Store to ship
C000257,Poland,Vehicles,45,28702,Global Ocean Logistics,348,0.8,0.029,0.36,0.04,0.414,Proceed to further inspection
C000258,Argentina,Pharmaceuticals,20,21397,Roy Shipping Agency,330,0.8,0.05,0.2,0.079,0.4,Proceed to further inspection
C000259,Brazil,Steel Coils,53,33621,Mitsui O.S.K. Lines (MOL),379,0.8,0.052,0.4,0.028,0.427,Proceed to further inspection
C000260,Italy,Marble,20,22113,Hyundai Merchant Marine (HMM),386,0.8,0.026,0.28,0.03,0.4,Proceed to further inspection
C000261,Indonesia,Steel Coils,45,29382,Global Ocean Logistics,332,0.8,0.047,0.4,0.04,0.426,Proceed to further inspection
C000262,United States,Furniture,45,29351,APL,301,0.8,0.028,0.21,0.031,0.39,Proceed to further inspection
C000263,Spain,Ceramics,45,28966,Safmarine,84,0.07,0.027,0.25,0.035,0.081,Store to ship
C000264,Colombia,Sugar,48,32368,SM Line,282,0.6,0.043,0.18,0.036,0.304,Proceed to further inspection
C000265,Vietnam,Furniture,40,26588,Sinokor Merchant Marine,192,0.4,0.048,0.21,0.036,0.224,Store to ship
C000266,United Arab Emirates,Sand,45,28708,Mitsui O.S.K. Lines (MOL),342,0.8,0.045,0.42,0.028,0.427,Proceed to further inspection
C000267,Colombia,Frozen Meat,53,33954,Evergreen Marine,46,0.01,0.043,0.24,0.029,0.058,Store to ship
C000268,United Kingdom,Copper,45,29390,Seaboard Marine,340,0.8,0.025,0.35,0.035,0.411,Proceed to further inspection
C000269,Oman,Semiconductors,48,32729,CMA CGM,79,0.07,0.038,0.32,0.027,0.094,Store to ship
C000270,Australia,Electronics,45,28850,Hyundai Merchant Marine (HMM),200,0.4,0.023,0.28,0.03,0.226,Store to ship
C000271,Denmark,Timber,45,29252,Seaboard Marine,202,0.6,0.02,0.29,0.035,0.314,Proceed to further inspection
C000272,Bangladesh,Tea,40,26437,Hapag-Lloyd,343,0.8,0.07,0.17,0.028,0.397,Proceed to further inspection
C000273,South Africa,Paper,45,29090,Grimaldi Lines,40,0.01,0.046,0.21,0.033,0.055,Store to ship
C000274,Italy,Coffee,48,32975,Mitsui O.S.K. Lines (MOL),325,0.8,0.026,0.18,0.028,0.384,Proceed to further inspection
C000275,Mexico,Electronics,45,28913,TS Lines,137,0.4,0.036,0.28,0.037,0.231,Store to ship
C000276,Portugal,Ceramics,53,34283,K Line,283,0.6,0.025,0.25,0.029,0.309,Proceed to further inspection
C000277,Portugal,Leather Goods,48,32250,Emirates Shipping Line,400,0.8,0.025,0.22,0.034,0.391,Proceed to further inspection
C000278,Sweden,Garments,20,21843,Safmarine,116,0.4,0.02,0.17,0.035,0.209,Store to ship
C000279,Pakistan,Lithium Batteries,53,33976,Mediterranean Shipping Company (MSC),24,0.01,0.06,0.82,0.026,0.152,Store to ship
C000280,China,Electronics,20,21959,PIL (Pacific International Lines),232,0.6,0.073,0.28,0.034,0.329,Proceed to further inspection
C000281,Denmark,Scientific Instruments,48,32348,Res Trans-Logis,302,0.8,0.02,0.25,0.042,0.395,Proceed to further inspection
C000282,Chile,Fertilizer,40,26690,Global Ocean Logistics,90,0.07,0.039,0.46,0.04,0.117,Store to ship
C000283,India,Rice,20,21554,Wan Hai Lines,173,0.4,0.04,0.38,0.032,0.247,Store to ship
C000284,Oman,Natural Gas Equipment,20,21560,Mediterranean Shipping Company (MSC),167,0.4,0.038,0.52,0.026,0.268,Store to ship
C000285,Indonesia,Coffee,53,34063,Wan Hai Lines,63,0.07,0.047,0.18,0.032,0.076,Store to ship
C000286,Norway,Pharmaceuticals,48,32319,APL,331,0.8,0.02,0.2,0.031,0.386,Proceed to further inspection
C000287,Taiwan,Batteries,40,26703,Res Trans-Logis,77,0.07,0.032,0.68,0.042,0.149,Store to ship
C000288,Oman,Coal,45,28827,Emirates Shipping Line,223,0.6,0.038,0.53,0.034,0.356,Proceed to further inspection
C000289,Malaysia,Wheat,48,32662,Grimaldi Lines,12,0.01,0.073,0.17,0.033,0.057,Store to ship
C000290,Belgium,Copper,53,34366,Hapag-Lloyd,366,0.8,0.023,0.35,0.028,0.41,Proceed to further inspection
C000291,Ukraine,Rubber,53,33704,Grimaldi Lines,296,0.6,0.055,0.27,0.033,0.322,Proceed to further inspection
C000292,Taiwan,Paint,40,26451,Ocean Network Express (ONE),329,0.8,0.032,0.41,0.027,0.422,Proceed to further inspection
C000293,Qatar,Vehicles,20,21892,Star Container Services,165,0.4,0.035,0.36,0.065,0.246,Store to ship
C000294,Chile,Textiles,48,32675,Yang Ming Marine,25,0.01,0.039,0.2,0.031,0.051,Store to ship
C000295,Mexico,Rubber,20,22075,SM Line,348,0.8,0.036,0.27,0.036,0.402,Proceed to further inspection
C000296,Morocco,Vaccines,40,26524,COSCO Shipping,256,0.6,0.04,0.19,0.032,0.304,Proceed to further inspection
C000297,Spain,Medical Equipment,53,33668,Yang Ming Marine,332,0.8,0.027,0.23,0.031,0.393,Proceed to further inspection
C000298,Belgium,Steel Coils,48,32325,Evergreen Marine,325,0.8,0.023,0.4,0.029,0.417,Proceed to further inspection
C000299,South Africa,Solar Panels,20,21417,Grimaldi Lines,310,0.8,0.046,0.24,0.033,0.401,Proceed to further inspection
C000300,Belgium,Aluminum,20,21615,X-Press Feeders,112,0.4,0.023,0.33,0.036,0.234,Store to ship
C000301,Australia,Fertilizer,53,33910,Mediterranean Shipping Company (MSC),90,0.07,0.023,0.46,0.026,0.111,Store to ship
C000302,France,Natural Gas Equipment,53,34275,Roy Shipping Agency,275,0.6,0.024,0.52,0.079,0.354,Proceed to further inspection
C000303,Turkey,Pharmaceuticals,20,22103,Seaboard Marine,376,0.8,0.055,0.2,0.035,0.397,Proceed to further inspection
C000304,Colombia,Machinery,48,32459,K Line,191,0.4,0.043,0.34,0.029,0.242,Store to ship
C000305,Egypt,Solar Panels,53,34058,Mediterranean Shipping Company (MSC),58,0.07,0.044,0.24,0.026,0.084,Store to ship
C000306,Saudi Arabia,Coal,20,21342,Baltic Shipping Company,385,0.8,0.05,0.53,0.041,0.447,Proceed to further inspection
C000307,Peru,Vehicles,45,29420,CMA CGM,370,0.8,0.041,0.36,0.027,0.417,Proceed to further inspection
C000308,Bangladesh,Semiconductors,45,29447,Wan Hai Lines,397,0.8,0.07,0.32,0.032,0.42,Proceed to further inspection
C000309,India,Wheat,53,33978,Hamburg Süd,22,0.01,0.04,0.17,0.03,0.046,Store to ship
C000310,Germany,Wheat,20,21400,North Korea Shipping Corporation,327,0.8,0.022,0.17,0.085,0.387,Proceed to further inspection
C000311,Mexico,Cotton,45,29440,Mediterranean Shipping Company (MSC),390,0.8,0.036,0.18,0.026,0.387,Proceed to further inspection
C000312,Sri Lanka,Garments,48,32755,Mediterranean Shipping Company (MSC),105,0.4,0.075,0.17,0.026,0.226,Store to ship
C000313,Philippines,Marble,48,32750,North Korea Shipping Corporation,100,0.07,0.043,0.28,0.085,0.095,Store to ship
C000314,Italy,Sand,40,26825,K Line,45,0.01,0.026,0.42,0.029,0.08,Store to ship
C000315,Brazil,Dairy Products,20,21757,Sinokor Merchant Marine,30,0.01,0.052,0.2,0.036,0.055,Store to ship
C000316,Morocco,Marble,40,26757,Seaboard Marine,23,0.01,0.04,0.28,0.035,0.064,Store to ship
C000317,United Arab Emirates,Solar Panels,20,21910,ZIM Integrated Shipping Services,183,0.4,0.045,0.24,0.035,0.228,Store to ship
C000318,Turkey,Batteries,45,28663,PIL (Pacific International Lines),387,0.8,0.055,0.68,0.034,0.471,Proceed to further inspection
C000319,South Africa,Batteries,53,34150,Sinokor Merchant Marine,150,0.4,0.046,0.68,0.036,0.296,Store to ship
C000320,Greece,Batteries,48,32989,Mediterranean Shipping Company (MSC),339,0.8,0.024,0.68,0.026,0.461,Proceed to further inspection
C000321,Spain,Garments,40,26569,Unifeeder,211,0.6,0.027,0.17,0.034,0.297,Store to ship
C000322,Poland,Heavy Machinery,45,29339,APL,289,0.6,0.029,0.49,0.031,0.347,Proceed to further inspection
C000323,Saudi Arabia,Wind Turbine Parts,20,22024,K Line,297,0.6,0.05,0.31,0.029,0.326,Proceed to further inspection
C000324,Hong Kong,Vehicles,20,21989,Syrian Shipping Lines,262,0.6,0.03,0.36,0.075,0.331,Proceed to further inspection
C000325,Portugal,Vegetables,20,22004,SM Line,277,0.6,0.025,0.14,0.036,0.292,Store to ship
C000326,Singapore,Pharmaceuticals,40,26412,ZIM Integrated Shipping Services,368,0.8,0.02,0.2,0.035,0.386,Proceed to further inspection
C000327,Portugal,Garments,40,26530,Seaboard Marine,250,0.6,0.025,0.17,0.035,0.297,Store to ship
C000328,Vietnam,Coal,48,32431,Baltic Shipping Company,219,0.6,0.048,0.53,0.041,0.36,Proceed to further inspection
C000329,New Zealand,Rice,48,32848,PIL (Pacific International Lines),198,0.4,0.021,0.38,0.034,0.241,Store to ship
C000330,Portugal,Computers,45,29102,TS Lines,52,0.07,0.025,0.26,0.037,0.082,Store to ship
C000331,Ukraine,Mobile Phones,20,22008,Baltic Shipping Company,281,0.6,0.055,0.27,0.041,0.322,Proceed to further inspection
C000332,France,Semiconductors,20,21897,Seaboard Marine,170,0.4,0.024,0.32,0.035,0.233,Store to ship
C000333,Norway,Footwear,40,26907,Hamburg Süd,127,0.4,0.02,0.19,0.03,0.211,Store to ship
C000334,South Korea,Vehicles,53,34336,K Line,336,0.8,0.028,0.36,0.029,0.413,Proceed to further inspection
C000335,Nigeria,Vaccines,45,29050,ZIM Integrated Shipping Services,0,0.01,0.065,0.19,0.035,0.058,Store to ship
C000336,Taiwan,Lithium Batteries,40,27037,X-Press Feeders,257,0.6,0.032,0.82,0.036,0.399,Proceed to further inspection
C000337,Colombia,Vehicles,48,32786,Global Ocean Logistics,136,0.4,0.043,0.36,0.04,0.246,Store to ship
C000338,Norway,Vaccines,45,28983,ZIM Integrated Shipping Services,67,0.07,0.02,0.19,0.035,0.069,Store to ship
C000339,Argentina,Fruits,45,29409,Wan Hai Lines,359,0.8,0.05,0.15,0.032,0.388,Proceed to further inspection
C000340,Chile,Batteries,40,26777,Unifeeder,3,0.01,0.039,0.68,0.034,0.125,Store to ship
C000341,Indonesia,Wind Turbine Parts,48,32488,CMA CGM,162,0.4,0.047,0.31,0.027,0.238,Store to ship
C000342,India,Sugar,20,21687,Mitsui O.S.K. Lines (MOL),40,0.01,0.04,0.18,0.028,0.048,Store to ship
C000343,Turkey,Batteries,20,21877,Seaboard Marine,150,0.4,0.055,0.68,0.035,0.299,Store to ship
C000344,Morocco,Vegetables,40,26874,Matson Navigation,94,0.07,0.04,0.14,0.028,0.067,Store to ship
C000345,India,Lithium Batteries,45,29344,Safmarine,294,0.6,0.04,0.82,0.035,0.402,Proceed to further inspection
C000346,Nigeria,Footwear,53,34152,Maersk,152,0.4,0.065,0.19,0.025,0.225,Store to ship
C000347,Indonesia,Sugar,45,28899,Evergreen Marine,151,0.4,0.047,0.18,0.029,0.218,Store to ship
C000348,Mexico,Tea,53,34072,Nippon Yusen Kaisha (NYK),72,0.07,0.036,0.17,0.029,0.071,Store to ship
C000349,Norway,Lubricants,53,33776,Sinokor Merchant Marine,224,0.6,0.02,0.37,0.036,0.326,Proceed to further inspection
C000350,Nigeria,Solar Panels,20,21430,Yang Ming Marine,297,0.6,0.065,0.24,0.031,0.32,Proceed to further inspection
C000351,Ukraine,Copper,40,26530,Hyundai Merchant Marine (HMM),250,0.6,0.055,0.35,0.03,0.334,Proceed to further inspection
C000352,United States,Heavy Machinery,53,33610,Roy Shipping Agency,390,0.8,0.028,0.49,0.079,0.438,Proceed to further inspection
C000353,China,Batteries,45,28772,ZIM Integrated Shipping Services,278,0.6,0.073,0.68,0.035,0.391,Proceed to further inspection
C000354,Turkey,Wheat,20,21561,Nippon Yusen Kaisha (NYK),166,0.4,0.055,0.17,0.029,0.219,Store to ship
C000355,Turkey,Industrial Tools,20,21396,Roy Shipping Agency,331,0.8,0.055,0.3,0.079,0.417,Proceed to further inspection
C000356,Spain,Chemicals,48,32798,Black Sea Shipping,148,0.4,0.027,0.71,0.055,0.296,Store to ship
C000357,United Kingdom,Wind Turbine Parts,20,21424,Yang Ming Marine,303,0.8,0.025,0.31,0.031,0.404,Proceed to further inspection
C000358,Italy,Dairy Products,53,34345,Black Sea Shipping,345,0.8,0.026,0.2,0.055,0.39,Proceed to further inspection
C000359,Egypt,Lubricants,45,29305,Nippon Yusen Kaisha (NYK),255,0.6,0.044,0.37,0.029,0.333,Proceed to further inspection
C000360,Canada,Scientific Instruments,20,21818,Black Sea Shipping,91,0.07,0.024,0.25,0.055,0.082,Store to ship
C000361,Oman,Sand,53,33983,Mediterranean Shipping Company (MSC),17,0.01,0.038,0.42,0.026,0.084,Store to ship
C000362,Sweden,Scientific Instruments,48,32787,APL,137,0.4,0.02,0.25,0.031,0.221,Store to ship
C000363,Poland,Corn,53,33709,ZIM Integrated Shipping Services,291,0.6,0.029,0.16,0.035,0.296,Store to ship
C000364,Taiwan,Semiconductors,40,26759,Crowley Maritime,21,0.01,0.032,0.32,0.033,0.067,Store to ship
C000365,New Zealand,Industrial Tools,40,26769,Evergreen Marine,11,0.01,0.021,0.3,0.029,0.06,Store to ship
C000366,China,Automobile Parts,45,29298,Mediterranean Shipping Company (MSC),248,0.6,0.073,0.31,0.026,0.333,Proceed to further inspection
C000367,France,Coffee,20,21934,Maersk,207,0.6,0.024,0.18,0.025,0.297,Store to ship
C000368,Qatar,Scientific Instruments,53,34044,Matson Navigation,44,0.01,0.035,0.25,0.028,0.057,Store to ship
C000369,Peru,Corn,45,29317,Syrian Shipping Lines,267,0.6,0.041,0.16,0.075,0.304,Proceed to further inspection
C000370,Oman,Wheat,45,28927,Crowley Maritime,123,0.4,0.038,0.17,0.033,0.214,Store to ship
C000371,India,Computers,48,32508,Emirates Shipping Line,142,0.4,0.04,0.26,0.034,0.229,Store to ship
C000372,Morocco,Fertilizer,53,34235,Baltic Shipping Company,235,0.6,0.04,0.46,0.041,0.347,Proceed to further inspection
C000373,New Zealand,Rice,53,33946,Mediterranean Shipping Company (MSC),54,0.07,0.021,0.38,0.026,0.098,Store to ship
C000374,Brazil,Furniture,48,32766,Emirates Shipping Line,116,0.4,0.052,0.21,0.034,0.225,Store to ship
C000375,Peru,Industrial Chemicals,20,21484,CMA CGM,243,0.6,0.041,0.75,0.027,0.391,Proceed to further inspection
C000376,Philippines,Natural Gas Equipment,53,33656,Baltic Shipping Company,344,0.8,0.043,0.52,0.041,0.443,Proceed to further inspection
C000377,South Africa,Vaccines,40,26640,Emirates Shipping Line,140,0.4,0.046,0.19,0.034,0.22,Store to ship
C000378,Saudi Arabia,Petroleum Products,20,21695,Global Ocean Logistics,32,0.01,0.05,0.84,0.04,0.154,Store to ship
C000379,Denmark,Sand,40,27020,Emirates Shipping Line,240,0.6,0.02,0.42,0.034,0.334,Proceed to further inspection
C000380,Egypt,Coffee,40,26692,Bahri,88,0.07,0.044,0.18,0.037,0.076,Store to ship
C000381,Brazil,Heavy Machinery,45,28878,Res Trans-Logis,172,0.4,0.052,0.49,0.042,0.269,Store to ship
C000382,Sri Lanka,Aluminum,40,26793,Evergreen Marine,13,0.01,0.075,0.33,0.029,0.082,Store to ship
C000383,Bangladesh,Plastic Granules,53,33965,Maersk,35,0.01,0.07,0.39,0.025,0.089,Store to ship
C000384,Bangladesh,Industrial Chemicals,20,21927,Hyundai Merchant Marine (HMM),200,0.4,0.07,0.75,0.03,0.314,Proceed to further inspection
C000385,Netherlands,Tea,40,26421,Bahri,359,0.8,0.021,0.17,0.037,0.382,Proceed to further inspection
C000386,Hong Kong,Chemicals,45,28791,Nippon Yusen Kaisha (NYK),259,0.6,0.03,0.71,0.029,0.381,Proceed to further inspection
C000387,Oman,Wheat,48,32809,Res Trans-Logis,159,0.4,0.038,0.17,0.042,0.215,Store to ship
C000388,Thailand,Mobile Phones,53,34237,SM Line,237,0.6,0.042,0.27,0.036,0.318,Proceed to further inspection
C000389,Belgium,Seafood,40,26667,Nippon Yusen Kaisha (NYK),113,0.4,0.023,0.22,0.029,0.217,Store to ship
C000390,Germany,Medical Equipment,53,33881,Maersk,119,0.4,0.022,0.23,0.025,0.218,Store to ship
C000391,China,Rubber,45,29099,Safmarine,49,0.01,0.073,0.27,0.035,0.073,Store to ship
C000392,Sweden,Food Products,53,34195,Sinokor Merchant Marine,195,0.4,0.02,0.16,0.036,0.207,Store to ship
C000393,Mexico,Electronics,48,32663,X-Press Feeders,13,0.01,0.036,0.28,0.036,0.062,Store to ship
C000394,New Zealand,Pharmaceuticals,20,21604,X-Press Feeders,123,0.4,0.021,0.2,0.036,0.214,Store to ship
C000395,Spain,Electronics,40,26456,Mediterranean Shipping Company (MSC),324,0.8,0.027,0.28,0.026,0.4,Proceed to further inspection
C000396,Japan,Mobile Phones,45,29100,North Korea Shipping Corporation,50,0.01,0.025,0.27,0.085,0.062,Store to ship
C000397,Mexico,Seafood,45,28848,OOCL,202,0.6,0.036,0.22,0.028,0.307,Proceed to further inspection
C000398,Mexico,Footwear,53,33982,CMA CGM,18,0.01,0.036,0.19,0.027,0.048,Store to ship
C000399,Vietnam,Steel Coils,48,32904,Safmarine,254,0.6,0.048,0.4,0.035,0.34,Proceed to further inspection
C000400,Kenya,Fruits,40,26443,Crowley Maritime,337,0.8,0.049,0.15,0.033,0.388,Proceed to further inspection
C000401,Argentina,Automobile Parts,45,29325,Roy Shipping Agency,275,0.6,0.05,0.31,0.079,0.33,Proceed to further inspection
C000402,France,Solvents,48,32690,COSCO Shipping,40,0.01,0.024,0.78,0.032,0.135,Store to ship
C000403,China,Machinery,45,28689,Black Sea Shipping,361,0.8,0.073,0.34,0.055,0.427,Proceed to further inspection
C000404,Colombia,Leather Goods,48,32555,Iran Shipping Lines,95,0.07,0.043,0.22,0.07,0.084,Store to ship
C000405,Egypt,Chemicals,45,28701,Maersk,349,0.8,0.044,0.71,0.025,0.472,Proceed to further inspection
C000406,Nigeria,Furniture,53,33985,Wan Hai Lines,15,0.01,0.065,0.21,0.032,0.061,Store to ship
C000407,Belgium,Wind Turbine Parts,53,34324,COSCO Shipping,324,0.8,0.023,0.31,0.032,0.404,Proceed to further inspection
C000408,Colombia,Garments,20,22122,X-Press Feeders,395,0.8,0.043,0.17,0.036,0.389,Proceed to further inspection
C000409,Thailand,Ceramics,40,26974,Unifeeder,194,0.4,0.042,0.25,0.034,0.228,Store to ship
C000410,Spain,Computers,20,21956,Hapag-Lloyd,229,0.6,0.027,0.26,0.028,0.311,Proceed to further inspection
C000411,Argentina,Solvents,53,33720,Res Trans-Logis,280,0.6,0.05,0.78,0.042,0.399,Proceed to further inspection
C000412,United Arab Emirates,Chemicals,20,21682,Black Sea Shipping,45,0.01,0.045,0.71,0.055,0.133,Store to ship
C000413,United Kingdom,Pharmaceuticals,48,33045,Crowley Maritime,395,0.8,0.025,0.2,0.033,0.388,Proceed to further inspection
C000414,Taiwan,Batteries,53,34136,Global Ocean Logistics,136,0.4,0.032,0.68,0.04,0.292,Store to ship
C000415,Vietnam,Solvents,40,26843,Wan Hai Lines,63,0.07,0.048,0.78,0.032,0.169,Store to ship
C000416,Kenya,Wind Turbine Parts,20,22123,Global Ocean Logistics,396,0.8,0.049,0.31,0.04,0.413,Proceed to further inspection
C000417,Nigeria,Batteries,20,21826,Mitsui O.S.K. Lines (MOL),99,0.07,0.065,0.68,0.028,0.159,Store to ship
C000418,Poland,Machinery,53,33642,Baltic Shipping Company,358,0.8,0.029,0.34,0.041,0.411,Proceed to further inspection
C000419,Portugal,Natural Gas Equipment,53,33709,Global Ocean Logistics,291,0.6,0.025,0.52,0.04,0.351,Proceed to further inspection
C000420,United States,Wind Turbine Parts,40,26564,Hapag-Lloyd,216,0.6,0.028,0.31,0.028,0.319,Proceed to further inspection
C000421,Belgium,Scientific Instruments,45,28846,Safmarine,204,0.6,0.023,0.25,0.035,0.308,Proceed to further inspection
C000422,South Korea,Copper,40,26624,SM Line,156,0.4,0.028,0.35,0.036,0.239,Store to ship
C000423,Netherlands,Solvents,45,29418,Hamburg Süd,368,0.8,0.021,0.78,0.03,0.475,Proceed to further inspection
C000424,Hong Kong,Steel Coils,48,32627,Mitsui O.S.K. Lines (MOL),23,0.01,0.03,0.4,0.028,0.078,Store to ship
C000425,India,Batteries,20,21498,North Korea Shipping Corporation,229,0.6,0.04,0.68,0.085,0.385,Proceed to further inspection
C000426,Australia,Timber,53,34084,Star Container Services,84,0.07,0.023,0.29,0.065,0.088,Store to ship
C000427,Kenya,Dairy Products,53,34089,Mitsui O.S.K. Lines (MOL),89,0.07,0.049,0.2,0.028,0.079,Store to ship
C000428,Taiwan,Fertilizer,48,32888,Hamburg Süd,238,0.6,0.032,0.46,0.03,0.343,Proceed to further inspection
C000429,Hong Kong,Cotton,40,26472,Yang Ming Marine,308,0.8,0.03,0.18,0.031,0.386,Proceed to further inspection
C000430,Saudi Arabia,Cotton,48,32532,Iran Shipping Lines,118,0.4,0.05,0.18,0.07,0.223,Store to ship
C000431,Spain,Fertilizer,48,33038,Evergreen Marine,388,0.8,0.027,0.46,0.029,0.428,Proceed to further inspection
C000432,Singapore,Batteries,45,29267,Star Container Services,217,0.6,0.02,0.68,0.065,0.377,Proceed to further inspection
C000433,Egypt,Vehicles,20,21502,Evergreen Marine,225,0.6,0.044,0.36,0.029,0.332,Proceed to further inspection
C000434,Indonesia,Steel Coils,40,26897,Yang Ming Marine,117,0.4,0.047,0.4,0.031,0.252,Store to ship
C000435,Oman,Scientific Instruments,45,29155,Matson Navigation,105,0.4,0.038,0.25,0.028,0.226,Store to ship
C000436,Canada,Corn,45,29276,Evergreen Marine,226,0.6,0.024,0.16,0.029,0.294,Store to ship
C000437,Australia,Industrial Chemicals,20,21594,COSCO Shipping,133,0.4,0.023,0.75,0.032,0.299,Store to ship
C000438,Bangladesh,Wheat,53,34390,APL,390,0.8,0.07,0.17,0.031,0.397,Proceed to further inspection
C000439,United States,Fruits,20,22007,Hapag-Lloyd,280,0.6,0.028,0.15,0.028,0.294,Store to ship
C000440,Denmark,Lithium Batteries,48,32912,Mediterranean Shipping Company (MSC),262,0.6,0.02,0.82,0.026,0.395,Proceed to further inspection
C000441,Sweden,Fertilizer,45,29262,North Korea Shipping Corporation,212,0.6,0.02,0.46,0.085,0.344,Proceed to further inspection
C000442,France,Sugar,48,32563,Res Trans-Logis,87,0.07,0.024,0.18,0.042,0.07,Store to ship
C000443,Australia,Corn,45,28786,Matson Navigation,264,0.6,0.023,0.16,0.028,0.294,Store to ship
C000444,Morocco,Vaccines,20,22022,Unifeeder,295,0.6,0.04,0.19,0.034,0.305,Proceed to further inspection
C000445,Singapore,Ceramics,20,21989,OOCL,262,0.6,0.02,0.25,0.028,0.307,Proceed to further inspection
C000446,Singapore,Fruits,53,33638,SITC International,362,0.8,0.02,0.15,0.038,0.379,Proceed to further inspection
C000447,Chile,Cotton,53,34169,OOCL,169,0.4,0.039,0.18,0.028,0.216,Store to ship
C000448,Mexico,Solvents,45,28786,Nippon Yusen Kaisha (NYK),264,0.6,0.036,0.78,0.029,0.394,Proceed to further inspection
C000449,Norway,Batteries,20,21665,COSCO Shipping,62,0.07,0.02,0.68,0.032,0.144,Store to ship
C000450,Australia,Aluminum,20,21788,APL,61,0.07,0.023,0.33,0.031,0.091,Store to ship
C000451,Portugal,Textiles,20,21553,COSCO Shipping,174,0.4,0.025,0.2,0.032,0.215,Store to ship
C000452,Chile,Lithium Batteries,48,32438,Evergreen Marine,212,0.6,0.039,0.82,0.029,0.401,Proceed to further inspection
C000453,South Africa,Tea,53,33871,Hapag-Lloyd,129,0.4,0.046,0.17,0.028,0.216,Store to ship
C000454,United Kingdom,Electrical Cables,40,26436,K Line,344,0.8,0.025,0.27,0.029,0.398,Proceed to further inspection
C000455,Qatar,Ceramics,48,32636,PIL (Pacific International Lines),14,0.01,0.035,0.25,0.034,0.057,Store to ship
C000456,Argentina,Timber,40,27016,Nippon Yusen Kaisha (NYK),236,0.6,0.05,0.29,0.029,0.323,Proceed to further inspection
C000457,Poland,Fertilizer,48,32612,Evergreen Marine,38,0.01,0.029,0.46,0.029,0.087,Store to ship
C000458,Denmark,Vehicles,48,32576,Mediterranean Shipping Company (MSC),74,0.07,0.02,0.36,0.026,0.095,Store to ship
C000459,Chile,Chemicals,20,21553,Mitsui O.S.K. Lines (MOL),174,0.4,0.039,0.71,0.028,0.297,Store to ship
